"","volume","church","page","city","state","start.date","end.date","communion.general","converts","under.instruction","diocese","type","mission.number","communion.adults","communion.children","communion.men","communion.women","order","notes","converts.adult","converts.children","location"
"32",1,"St. Peter and Paul's Church",56,"Williamsburg, Brookyln, New York","NY","12/4/1853","12/18/1853",4000,"16",NA,"New York","mission",32,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Williamsburg, Brookyln, New York NY"
"33",1,"St. Patrick's Church",58,"New Orleans","LA","1/15/1854","1/29/1854",3000,"several",NA,"New Orleans","mission",33,NA,NA,NA,NA,"Redemptorist","",NA,NA,"New Orleans LA"
"34",1,"St. Joseph's Church",61,"New Orleans","LA","2/12/1854","2/21/1854",1300,"several",NA,"New Orleans","mission",34,NA,NA,NA,NA,"Redemptorist","",NA,NA,"New Orleans LA"
"35",1,"Cathedral of the Immaculate Conception",62,"Mobile","AL","3/4/1854","3/16/1854",1300,"2",NA,"Mobile","mission",35,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Mobile AL"
"36",1,"St. Alphonsus' Church",63,"New Orleans","LA","3/26/1854","4/5/1854",2000,"",NA,"New Orleans","mission",36,NA,NA,NA,NA,"Redemptorist","",NA,NA,"New Orleans LA"
"37",1,"St. Peter's Church",64,"New Orleans","LA","4/9/1854","4/17/1854",1700,"2",NA,"New Orleans","mission",37,NA,NA,NA,NA,"Redemptorist","",NA,NA,"New Orleans LA"
"38",1,"St. John Baptist's Church",64,"New Orleans","LA","4/23/1854","4/30/1854",1500,"2",NA,"New Orleans","mission",38,NA,NA,NA,NA,"Redemptorist","",NA,NA,"New Orleans LA"
"39",1,"St. Theresa's Church",65,"New Orleans","LA","5/14/1854","5/21/1854",1500,"",NA,"New Orleans","mission",39,NA,NA,NA,NA,"Redemptorist","",NA,NA,"New Orleans LA"
"40",1,"St. John's Church",66,"Schenectady","NY","10/8/1854","10/18/1854",1300,"",NA,"","mission",40,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Schenectady NY"
"41",1,"",67,"Patterson","NJ","10/29/1854","11/9/1854",2700,"",NA,"","mission",41,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Patterson NJ"
"42",1,"Church of Our Lady of the Mountain",68,"Emmitsburg","MD","11/19/1854","11/26/1854",500,"",NA,"Baltimore","mission",42,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Emmitsburg MD"
"43",1,"St. Peter's Church",70,"Baltimore","MD","12/3/1854","12/13/1854",2500,"several",NA,"Baltimore","mission",43,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Baltimore MD"
"44",1,"St. Patrick's Cathedral",71,"Newark","NK","12/31/1854","1/14/1855",4400,"",NA,"Newark","mission",44,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Newark NK"
"45",1,"St. Mary's Church",72,"Charlestown","MA","1/28/1855","2/11/1855",2800,"several",NA,"Boston","mission",45,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Charlestown MA"
"46",1,"St. Patrick's Church",74,"Utica","NY","2/21/1855","3/4/1855",1000,"several",NA,"Albany","mission",46,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Utica NY"
"47",1,"Church of the Annunciation",75,"Manhattanville","NY","3/18/1855","4/1/1855",1400,"",NA,"New York","mission",47,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Manhattanville NY"
"48",1,"",76,"Lexington","KY","4/15/1855","4/25/1855",600,"3",NA,"Covington","mission",48,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Lexington KY"
"49",1,"",76,"Frankfort","KY","4/29/1855","5/3/1855",350,"2",NA,"Covington","mission",49,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Frankfort KY"
"50",1,"",79,"Canandagua","NY","9/9/1855","9/17/1855",700,"",NA,"Buffalo","mission",50,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Canandagua NY"
"51",1,"St. Paul's Cathedral",79,"Pittsburgh","PA","10/14/1855","10/28/1855",7600,"20",NA,"Pittsburgh","mission",51,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Pittsburgh PA"
"52",1,"St. Joseph's Cathedral",83,"Buffalo","NY","11/11/1855","11/21/1855",3000,"several",NA,"Buffalo","mission",52,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Buffalo NY"
"53",1,"Church of the Holy Angels",84,"Sandusky","OH","12/2/1855","12/12/1855",1100,"",NA,"Cleveland","mission",53,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Sandusky OH"
"54",1,"St. John's Cathedral",85,"Cleveland","OH","12/16/1855","12/25/1855",3300,"",NA,"Cleveland","mission",54,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Cleveland OH"
"55",1,"St. Stephen's Church",86,"New York","NY","1/6/1856","1/18/1856",4000,"",NA,"New York","mission",55,NA,NA,NA,NA,"Redemptorist","",NA,NA,"New York NY"
"56",1,"Church of OUr Lady Start of the Sea",87,"Brooklyn","NY","2/3/1856","2/17/1856",2800,"1",NA,"New York","mission",56,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Brooklyn NY"
"57",1,"St. Patrick's Church",89,"Newburgh","NY","3/2/1856","3/13/1856",1350,"several",NA,"New York","mission",57,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Newburgh NY"
"58",1,"St. Patrick's Church",91,"Norfolk","VA","3/30/1856","4/6/1856",400,"",NA,"Richmond","mission",58,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Norfolk VA"
"59",1,"",95,"Portsmouth","VA","3/30/1856","4/8/1856",520,"9",NA,"Richmond","mission",59,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Portsmouth VA"
"60",1,"Richmond Cathedral",95,"Richmond","VA","4/13/1856","4/23/1856",900,"",NA,"Richmond","mission",60,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Richmond VA"
"61",1,"",97,"Petersburg","VA","4/13/1856","4/18/1856",210,"",NA,"Richmond","mission",61,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Petersburg VA"
"62",1,"St. Mary's Church",97,"Hoboken","NJ","9/28/1856","10/5/1856",700,"7",NA,"Newark","mission",62,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Hoboken NJ"
