city,state,lon,lat,date,association,church,organized,members,minister,ordained,settled,race,citation
Adams,MA,-73.1174344,42.6242251,1853-06,Berkshire North Association,South,1840,94,J. Jay Dana,NA,1848,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Becket,MA,-73.0829366,42.3319904,1853-06,Berkshire North Association,North,1849,92,C. H. Norton,NA,1851,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Dalton,MA,-73.1662138,42.4736959,1853-06,Berkshire North Association,,1785,80,O. M. Sears,NA,1847,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Hinsdale,MA,-73.1253799,42.4386967,1853-06,Berkshire North Association,,1795,185,P. K. Clark,NA,1852,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Lanesboro,MA,-73.2281596,42.5173058,1853-06,Berkshire North Association,,1764,54,C. Eddy,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Peru,MA,-73.0459339,42.4381417,1853-06,Berkshire North Association,,1770,167,J. Knight,NA,1836,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Pittsfield,MA,-73.2453824,42.4500845,1853-06,Berkshire North Association,First Church,1764,627,J. Todd,NA,1842,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Pittsfield,MA,-73.2453824,42.4500845,1853-06,Berkshire North Association,Colored,1846,14,S. Harrison,NA,1850,black,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Pittsfield,MA,-73.2453824,42.4500845,1853-06,Berkshire North Association,South,1850,173,S. Harris,NA,1851,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Richmond,MA,-73.3676804,42.3729519,1853-06,Berkshire North Association,,1765,70,A. A. Whitmore,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Washington,MA,-73.116214,42.36592,1853-06,Berkshire North Association,,1760,30,E. L. Clark,NA,1853,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Williamston,MA,-73.2036898,42.7120196,1853-06,Berkshire North Association,[First],1765,290,A. Peters,NA,1841,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Williamston,MA,-73.2036898,42.7120196,1853-06,Berkshire North Association,South,1835,44,J. Bascom,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Williamston,MA,-73.2036898,42.7120196,1853-06,Berkshire North Association,College,1834,43,M. Hopkins,NA,1836,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Windsor,MA,-73.0457124,42.5090217,1853-06,Berkshire North Association,,1772,45,C. Peabody,NA,,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
Canaan,NY,-73.4470553,42.4120287,1853-06,Berkshire North Association,,NA,88,J. Wickens,NA,1848,,The Year-book of the American Congregational Union for the Year 1854 (p. 46)
