volume,page,mission.number,type,church,city,state,start.date,end.date,communion.general,converts,under.instruction,diocese,communion.adults,communion.children,communion.men,communion.women,order,notes,converts.adult,converts.children,location,confirmed,pledges
4,250,,mission,St. Bridget's Church,West Troy,NY,5/8/1892,5/22/1892,2110,,,,,,980,1130,,,,,,,
4,252,,mission,St. Jerome's Church,Hyattsville,MD,5/22/1892,5/29/1892,155,1,2,,,,,,,,,,,,
4,253,,mission,Church of the Annunciation,Florence,MA,6/5/1892,6/12/1892,1075,1,,,,,,,,,,,,,
4,254,,mission,,Canal Fulton,OH,6/5/1892,6/12/1892,400,1,,,,,,,,,,,,,
4,255,,mission,St. Mary's Church,Canandaigua,NY,5/29/1892,6/12/1892,1580,4,,,,,740,840,,,,,,136,
4,257,,mission,Church of the Immaculate Conception,Newburyport,MA,5/22/1892,6/5/1892,2740,,,,,240,1050,1450,,,,,,,
4,259,,retreat,St. Bridget's Church,Indianapolis,IN,6/9/1892,6/12/1892,750,,,,,,,,,,,,,,
4,263,,mission,Star of the Sea Church,Long Branch,NJ,9/11/1892,9/18/1892,600,1,,,,,,,,,,,,,
4,264,,mission,St. Agnes's Church,Paterson,NJ,9/11/1892,9/25/1892,2200,12,,,,400,800,1000,,,,,,89,840
4,265,,mission,Holy Trinity Church,Wallingford,CT,9/11/1892,9/25/1892,1450,,,,,75,675,700,,,,,,,600
4,266,,mission,St. Columba's Church,Newark,NJ,9/11/1892,9/25/1892,1575,,,,,65,610,900,,,,,,,
4,267,,mission,Church of Our Lady,Sand Beach,MI,9/25/1892,9/29/1892,140,,,,,,,,,,,,,,
4,268,,mission,St. Joseph's Church,Argyle,MI,9/25/1892,9/31/1892,224,14,,,,,,,,,,,,,
4,269,,mission,Immaculate Conception Church,Monmouth,IL,10/2/1892,10/9/1892,485,,,,,,,,,,,,,,100
4,270,,mission,,Raritan,IL,10/9/1892,10/12/1892,130,,,,,,,,,,,,,,68
4,270,,mission,,Alexis,IL,10/9/1892,10/13/1892,200,,,,,,,,,,,,,,112
4,271,,mission,St. Augustine's Church,Kalamazoo,MI,10/2/1892,10/16/1892,1600,,,,,350,550,700,,,,,,,
4,273,,mission,,Highland Falls,NY,10/2/1892,10/16/1892,350,,,,,,,,,,,,,,
4,273,,mission,,West Point,NY,10/2/1892,10/16/1892,520,,,,,,,,,,,,,,
4,274,,mission,St. Ann's Church,Neponset,MA,10/2/1892,10/16/1892,1610,1,,,,,760,850,,,,,,,
4,275,,mission,St. Mark's Church,Peoria,IL,10/16/1892,10/23/1892,317,,,,,,,,,,,,,,115
4,276,,mission,Church of the Immaculate Conception,Spring Valley,IL,10/23/1892,10/30/1892,950,,,,,,,,,,,,,,
4,277,,mission,Church of the Nativity,Brooklyn,NY,10/16/1892,10/30/1892,2530,1,,,,,1050,1480,,,,,,,
4,279,,mission,St. Mary's Church,Utica,IL,10/30/1892,11/6/1892,507,,,,,,,,,,,,,,
4,280,,mission,Ss. Peter and Paul's Cathedral,Detroit,MI,10/23/1892,11/6/1892,2050,,,,,100,600,1350,,,,,,,
4,281,,mission,St. Mary's Church,Bethel,CT,10/30/1892,11/6/1892,700,,,,,,,,,,,,,,
4,282,,mission,St. Simon's Church,Washington,IN,11/13/1892,11/20/1892,1300,9,,,,,,,,,,,,,
4,283,,mission,St. Joseph's Church,Roxbury,MA,11/13/1892,11/27/1892,2650,,,,,400,900,1350,,,,,,,
4,283,,mission,Chapel,Roxbury,MA,11/13/1892,11/20/1892,1150,,,,,,,,,,,,,,
4,285,,mission,St. Ann's Church,Chicago,IL,11/23/1892,11/27/1892,2250,,,,,150,800,1300,,,,,,,
4,286,,mission,Sacred Heart Church,Bloomfield,NJ,11/27/1892,12/4/1892,1007,2,,,,,,,,,,,,,400
