volume,page,mission_number,type,church,city,state,start_date,end_date,confessions_total,converts,under_instruction,diocese,confessions_adults,confessions_children,confessions_men,confessions_women,order,notes,converts_adult,converts_children,temperance_pledges,confirmed
1,72,45,mission,St. Mary's Church,Charlestown,MA,1/28/1855,2/11/1855,2800,several,,Boston,,,,,Redemptorist,,,,,
1,74,46,mission,St. Patrick's Church,Utica,NY,2/21/1855,3/4/1855,1000,several,,Albany,,,,,Redemptorist,,,,,
1,75,47,mission,Church of the Annunciation,Manhattanville,NY,3/18/1855,4/1/1855,1400,,,New York,,,,,Redemptorist,,,,,
1,76,48,mission,,Lexington,KY,4/15/1855,4/25/1855,600,3,,Covington,,,,,Redemptorist,,,,,
1,76,49,mission,,Frankfort,KY,4/29/1855,5/3/1855,350,2,,Covington,,,,,Redemptorist,,,,,
1,79,50,mission,,Canandagua,NY,9/9/1855,9/17/1855,700,,,Buffalo,,,,,Redemptorist,,,,,
1,79,51,mission,St. Paul's Cathedral,Pittsburgh,PA,10/14/1855,10/28/1855,7600,20,,Pittsburgh,,,,,Redemptorist,,,,,
1,83,52,mission,St. Joseph's Cathedral,Buffalo,NY,11/11/1855,11/21/1855,3000,several,,Buffalo,,,,,Redemptorist,,,,,
1,84,53,mission,Church of the Holy Angels,Sandusky,OH,12/2/1855,12/12/1855,1100,,,Cleveland,,,,,Redemptorist,,,,,
1,85,54,mission,St. John's Cathedral,Cleveland,OH,12/16/1855,12/25/1855,3300,,,Cleveland,,,,,Redemptorist,,,,,
1,86,55,mission,St. Stephen's Church,New York,NY,1/6/1856,1/18/1856,4000,,,New York,,,,,Redemptorist,,,,,
1,87,56,mission,Church of OUr Lady Start of the Sea,Brooklyn,NY,2/3/1856,2/17/1856,2800,1,,New York,,,,,Redemptorist,,,,,
1,89,57,mission,St. Patrick's Church,Newburgh,NY,3/2/1856,3/13/1856,1350,several,,New York,,,,,Redemptorist,,,,,
1,91,58,mission,St. Patrick's Church,Norfolk,VA,3/30/1856,4/6/1856,400,,,Richmond,,,,,Redemptorist,,,,,
1,95,59,mission,,Portsmouth,VA,3/30/1856,4/8/1856,520,9,,Richmond,,,,,Redemptorist,,,,,
1,95,60,mission,Richmond Cathedral,Richmond,VA,4/13/1856,4/23/1856,900,,,Richmond,,,,,Redemptorist,,,,,
1,97,61,mission,,Petersburg,VA,4/13/1856,4/18/1856,210,,,Richmond,,,,,Redemptorist,,,,,
1,97,62,mission,St. Mary's Church,Hoboken,NJ,9/28/1856,10/5/1856,700,7,,Newark,,,,,Redemptorist,,,,,
1,102,63,mission,St. Peter's Church,Wilmington,DE,10/12/1856,10/23/1856,1700,,,Philadelphia,,,,,Redemptorist,,,,,
1,106,64,mission,St. Patrick's Church,Washington,DC,11/2/1856,11/15/1856,2700,several,,Baltimore,,,,,Redemptorist,,,,,
1,111,65,mission,St. John's Church,Savannah,GA,11/23/1856,12/7/1856,2500,several,,Savannah,,,,,Redemptorist,,,,,
1,113,66,mission,Church of the Immaculate Conception,Atlanta,GA,12/14/1856,12/19/1856,190,several,,Savannah,,,,,Redemptorist,,,,,
1,114,67,mission,Church of the Assumption of the Blessed Virgin Mary,Macon,GA,12/21/1856,12/28/1856,210,several,,Savannah,,,,,Redemptorist,,,,,
1,116,68,mission,St. Philip and James' Church,Columbus,GA,1/4/1857,1/11/1857,170,1,,Savannah,,,,,Redemptorist,,,,,
1,119,69,mission,Trinity Church,Augusta,GA,12/14/1856,12/24/1856,750,,,Savannah,,,,,Redemptorist,,,,,
1,126,70,mission,,St. Augustine,FL,1/4/1857,1/11/1857,600,,,,,,,,Redemptorist,,,,,
1,129,71,mission,Cathedral of St. John and St. Finabarr,Charleston,SC,1/25/1857,2/8/1857,3100,20,,Charleston,,200,,,Redemptorist,,,,,
1,133,72,mission,St. Mary's Church,Roudout,NY,3/1/1857,3/15/1857,2200,,,,,,,,Redemptorist,,,,,
1,136,73,mission,St. Mary's Church,Hudson,NY,3/22/1857,3/29/1857,800,,,,,,,,Redemptorist,,,,,
1,137,74,mission,St. James' Church ,Newark,NJ,9/26/1857,10/6/1857,1900,,,,,,,,Redemptorist,,,,,
1,138,75,mission,Church of Our Lady of Loretto,Cold Spring,NY,10/11/1857,10/18/1857,800,2,,,,,,,Redemptorist,,,,,
1,140,76,mission,St. Peter's Church,Poughkeepsie,NY,10/24/1857,11/6/1857,1950,,,,,,,,Redemptorist,,,,,
1,142,77,mission,St. John's Church,Utica,NY,11/15/1857,11/27/1857,3000,,,,,,,,Redemptorist,,,,,
1,144,78,mission,St. Joseph's Church,Brandywine,DE,12/6/1857,12/14/1857,920,1,,Philadelphia,,,,,Redemptorist,,,,,
1,145,79,mission,St. John the Baptist's Church,Trenton,NJ,12/20/1857,12/31/1857,2050,5,,Newark,,,,,Redemptorist,,,,,
1,148,80,mission,Cathedral of Burlington,Burlington,VT,1/10/1858,1/18/1858,1400,2,,Burlington,,,,,Redemptorist,,,,,
1,151,81,mission,St John Baptist's Church,Plattsburg,NY,1/24/1858,1/31/1858,1100,1,,Albany,,,,,Redemptorist,,,,,
1,153,82,mission,,Brandon,VT,2/7/1858,2/11/1858,277,,,Burlington,,,,,Redemptorist,,,,,
1,155,83,mission,,East Rutland,VT,2/7/1858,2/15/1858,840,,,Burlington,,,,,Redemptorist,,,,,
1,156,84,mission,,West Rutland,VT,2/21/1858,3/1/1858,1008,3,,Burlington,,,,,Redemptorist,,,,,
1,157,85,mission,,Saratoga Springs,NY,3/7/1858,3/15/1858,970,,,,,,,,Redemptorist,,,,,
1,158,86,mission,,Little Falls,NY,3/21/1858,3/28/1858,800,3,,,,,,,Redemptorist,,,,,
1,169,1,mission,St. Patrick's Church,Watertown,NY,4/18/1858,4/26/1858,1073,5,,,,,,,Paulist,,,,,
1,172,2,mission,St. Bridget's Church,New York,NY,5/2/1858,5/16/1858,5700,15,,,,,,,Paulist,,,,,
1,178,3,mission,Cathedral of Ss. Peter & Paul,Providence,RI,9/19/1858,10/1/1858,4430,,,,,,,,Paulist,,,,,
1,183,4,mission,St. Peter's Cathedral,New York,NY,10/10/1858,10/17/1858,2000,,,,,,,,Paulist,,,,,
1,186,5,mission,St. Mary's Cathedral,Covington,KY,10/24/1858,11/1/1858,1450,,,Covington,,,,,Paulist,,,,,
1,189,6,mission,St. Augustine's Church,Kalamazoo,MI,11/7/1858,11/14/1858,430,2,,,,,,,Paulist,,,,,
1,192,7,mission,Church of the Immaculate Conception,Marshall,MI,11/21/1858,11/26/1858,575,1,,,,,,,Paulist,,,,,
1,193,8,mission,St. John's Church,Jackson,MI,11/28/1858,12/5/1858,450,1,,,,,,,Paulist,,,,,
1,196,9,mission,St. Thomas's Church,Ann Arbor,MI,12/12/1858,12/19/1858,910,5,,,,,,,Paulist,,,,,
1,200,10,mission,St. Mary's Church,New Haven,CT,1/2/1859,1/14/1859,2060,4,,Hartford,,,,,Paulist,,,,,
1,202,11,mission,St. Paul's Church,Princeton,NJ,1/23/1859,1/31/1859,570,1,,Newark,,,,,Paulist,,,,,
1,206,12,mission,St. Peter's Church,Belleville,NJ,2/13/1859,2/20/1859,1135,2,,Newark,,,,,Paulist,,,,,
1,209,13,mission,St. Patrick's Church,Quebec,QC,3/20/1859,4/3/1859,7250,50,,Quebec,,,,,Paulist,,,,,
1,218,14,mission,St. Peter's Church,Troy,NY,4/10/1859,4/20/1859,2600,6,,Albany,2440,160,,,Paulist,,,,,
1,223,15,mission,Cathedral of the Immaculate Conception,St. John,NB,9/4/1859,9/15/1859,8450,6,,Halifax,,,,,Paulist,,,,,
1,227,16,mission,St. Mary's Church,Jersey City,NJ,10/2/1859,10/10/1859,1950,3,,Newark,1800,150,,,Paulist,,,,,
1,230,17,mission,St. Mary's Church,New York,NY,10/16/1859,10/23/1859,3500,5,,New York,,,,,Paulist,,,,,
1,234,18,mission,St. James' Church,Bridgeport,CT,10/30/1859,11/7/1859,1570,,,Hartford,,,,,Paulist,,,,,
1,237,19,mission,Church of St. Paul the Apostle,New York,NY,12/18/1859,12/25/1859,800,,,New York,725,75,,,Paulist,,,,,
1,239,20,mission,St. Mary's Church,"Clifton, Staten Island",NY,1/1/1860,1/8/1860,1250,3,,New York,1159,91,,,Paulist,,,,,
1,241,21,mission,Church of the Immaculate Conception,Waterbury,CT,1/15/1860,1/29/1860,2800,3,,Hartford,,,,,Paulist,,,,,
1,244,22,mission,St. John's Church,Middletown,CT,2/5/1860,2/14/1860,2270,3,,Hartford,2100,170,,,Paulist,,,,,
1,247,23,mission,St. Mary's Church,New Britain,CT,2/19/1860,2/28/1860,1230,,,Hartford,,,,,Paulist,,,,,
1,249,24,mission,St. Rose's Church,Meriden,CT,3/11/1860,3/18/1860,810,,,Hartford,770,40,,,Paulist,,,,,
1,250,25,mission,Church of St. Paul the Apostle,New York,NY,3/25/1860,3/28/1860,925,,,New York,,,,,Paulist,,,,,
1,251,26,mission,Cathedral,Kingston,ON,4/15/1860,4/25/1860,2640,5,,Kingston,,,,,Paulist,,,,,
1,255,27,mission,St. Mary's Church,Norwich,CT,5/6/1860,5/16/1860,1900,5,,,,,,,Paulist,,,,,
1,259,28,mission,Church of the Immaculate Conception,Lawrence,MA,9/30/1860,10/12/1860,2150,,,Boston,,,,,Paulist,,,,,
1,261,29,mission,St. Patrick's Church,Elizabethport,NJ,10/20/1860,10/28/1860,1000,1,,Newark,,,,,Paulist,,,,,
1,263,30,mission,St. Soryl's Church,Hudson City,NJ,11/4/1860,11/12/1860,1100,1,,Newark,,,,,Paulist,,,,,
